genes	counts
geneID01122	2
geneID01123	1
geneID01124	0
geneID01125	2
geneID01126	17
geneID01127	0
geneID01128	47
geneID01129	0
geneID01130	0
geneID01131	0
geneID01132	20
geneID01133	0
geneID01134	0
geneID01135	486
geneID01136	0
geneID01137	0
geneID01138	0
geneID01139	93
geneID01140	1031
geneID01141	0
geneID01142	187
geneID01143	77
geneID01144	464
geneID01145	0
geneID01146	0
geneID01147	12
geneID01148	59
geneID01149	298
geneID01150	39
geneID01151	0
geneID01152	721
geneID01153	71
geneID01154	78
geneID01155	0
geneID01156	0
geneID01157	108
geneID01158	0
geneID01159	265
geneID01160	55
geneID01161	0
geneID01162	757
geneID01163	1107
geneID01164	168
geneID01165	2628
geneID01166	248
geneID01167	83
geneID01168	165
geneID01169	19
geneID01170	53
geneID01171	960
geneID01172	0
geneID01173	0
geneID01174	0
geneID01175	326
geneID01176	41
geneID01177	137
geneID01178	71
geneID01179	0
geneID01180	0
geneID01181	1
geneID01182	708
geneID01183	0
geneID01184	64
geneID01185	0
geneID01186	0
geneID01187	206
geneID01188	21
geneID01189	1
geneID01190	1
geneID01191	52
geneID01192	1973
geneID01193	16
geneID01194	37
geneID01195	351
geneID01196	0
geneID01197	52
geneID01198	1
geneID01199	0
geneID01200	0
geneID01201	0
geneID01202	0
geneID01203	1
geneID01204	17
geneID01205	0
geneID01206	29
geneID01207	473
geneID01208	127
geneID01209	92
geneID01210	161
geneID01211	4
geneID01212	582
geneID01213	27
geneID01214	25
geneID01215	53
geneID01216	528
geneID01217	19
geneID01218	242
geneID01219	0
geneID01220	175
geneID01221	215
geneID01222	133
geneID01223	81
geneID01224	39
geneID01225	36
geneID01226	738
geneID01227	0
geneID01228	157
geneID01229	0
geneID01230	362
geneID01231	402
geneID01232	37
geneID01233	0
geneID01234	188
geneID01235	200
geneID01236	11
geneID01237	0
geneID01238	259
geneID01239	325
geneID01240	39
geneID01241	0
geneID01242	7
geneID01243	0
geneID01244	79
geneID01245	187
geneID01246	1
geneID01247	0
geneID01248	25
geneID01249	0
geneID01250	80
geneID01251	282
geneID01252	0
geneID01253	0
geneID01254	0
geneID01255	0
geneID01256	91
geneID01257	46
geneID01258	38
geneID01259	77
geneID01260	3
geneID01261	226
geneID01262	199
geneID01263	477
geneID01264	59
geneID01265	79
geneID01266	26
geneID01267	1477
geneID01268	0
geneID01269	82
geneID01270	328
geneID01271	180
geneID01272	475
geneID01273	110
geneID01274	374
geneID01275	0
geneID01276	487
geneID01277	0
geneID01278	1
geneID01279	0
geneID01280	3701
geneID01281	235
geneID01282	768
geneID01283	177
geneID01284	0
geneID01285	0
geneID01286	0
geneID01287	0
geneID01288	29
geneID01289	6
geneID01290	130
geneID01291	72
geneID01292	275
geneID01293	210
geneID01294	39
geneID01295	49
geneID01296	649
geneID01297	106
geneID01298	101
geneID01299	10
geneID01300	129
geneID01301	278
geneID01302	1
geneID01303	17
geneID01304	22
geneID01305	404
geneID01306	258
geneID01307	87
geneID01308	191
geneID01309	29
geneID01310	0
geneID01311	90
geneID01312	413
geneID01313	5
geneID01314	164
geneID01315	136
geneID01316	98
geneID01317	530
geneID01318	100
geneID01319	0
geneID01320	0
geneID01321	0
geneID01322	313
geneID01323	35
geneID01324	0
geneID01325	256
geneID01326	220
geneID01327	0
geneID01328	228
geneID01329	32
geneID01330	63
geneID01331	26
geneID01332	0
geneID01333	0
geneID01334	2871
geneID01335	96
geneID01336	84
geneID01337	3
geneID01338	0
geneID01339	0
geneID01340	0
geneID01341	1
geneID01342	2
geneID01343	0
geneID01344	1
geneID01345	0
geneID01346	0
geneID01347	432
geneID01348	134
geneID01349	110
geneID01350	0
geneID01351	0
geneID01352	0
geneID01353	0
geneID01354	0
geneID01355	1
geneID01356	0
geneID01357	0
geneID01358	31
geneID01359	0
geneID01360	188
geneID01361	12
geneID01362	2
geneID01363	0
geneID01364	270
geneID01365	3
geneID01366	53
geneID01367	506
geneID01368	71
geneID01369	33
geneID01370	0
geneID01371	0
geneID01372	133
geneID01373	67
geneID01374	52
geneID01375	32
geneID01376	77
geneID01377	287
geneID01378	0
geneID01379	125
geneID01380	100
geneID01381	206
geneID01382	0
geneID01383	118
geneID01384	54
geneID01385	5
geneID01386	639
geneID01387	135
geneID01388	3
geneID01389	58
geneID01390	18
geneID01391	329
geneID01392	4
geneID01393	199
geneID01394	97
geneID01395	166
geneID01396	420
geneID01397	73
geneID01398	0
geneID01399	167
geneID01400	41
geneID01401	1
geneID01402	0
geneID01403	0
geneID01404	5
geneID01405	29
geneID01406	103
geneID01407	86
geneID01408	0
geneID01409	32
geneID01410	241
geneID01411	2
geneID01412	1
geneID01413	33
geneID01414	16
geneID01415	72
geneID01416	0
geneID01417	0
geneID01418	86
geneID01419	0
geneID01420	5
geneID01421	16
geneID01422	336
geneID01423	63
geneID01424	125
geneID01425	191
geneID01426	55
geneID01427	0
geneID01428	6460
geneID01429	62
geneID01430	15
geneID01431	332
geneID01432	139
geneID01433	188
geneID01434	3
geneID01435	237
geneID01436	1
geneID01437	492
geneID01438	774
geneID01439	0
geneID01440	48
geneID01441	555
geneID01442	405
geneID01443	0
geneID01444	150
geneID01445	13
geneID01446	24
geneID01447	37
geneID01448	0
geneID01449	582
geneID01450	9
geneID01451	16
geneID01452	0
geneID01453	0
geneID01454	0
geneID01455	80
geneID01456	345
geneID01457	148
geneID01458	98
geneID01459	68
geneID01460	1176
geneID01461	322
geneID01462	34
geneID01463	7
geneID01464	0
geneID01465	549
geneID01466	76
geneID01467	623
geneID01468	11
geneID01469	405
geneID01470	1
geneID01471	17
geneID01472	0
geneID01473	365
geneID01474	50
geneID01475	528
geneID01476	367
geneID01477	3
geneID01478	311
geneID01479	47
geneID01480	0
geneID01481	3
geneID01482	115
geneID01483	0
geneID01484	34
geneID01485	0
geneID01486	741
geneID01487	210
geneID01488	427
geneID01489	338
geneID01490	432
geneID01491	3
geneID01492	3
geneID01493	0
geneID01494	7
geneID01495	576
geneID01496	126
geneID01497	160
geneID01498	0
geneID01499	0
geneID01500	0
geneID01501	0
geneID01502	57
geneID01503	1215
geneID01504	71
geneID01505	115
geneID01506	1
geneID01507	0
geneID01508	105
geneID01509	140
geneID01510	2
geneID01511	0
geneID01512	0
geneID01513	134
geneID01514	64
geneID01515	45
geneID01516	54
geneID01517	588
geneID01518	4
geneID01519	254
geneID01520	354
geneID01521	1
geneID01522	11
geneID01523	3
geneID01524	6
geneID01525	242
geneID01526	4
geneID01527	985
geneID01528	28
geneID01529	64
geneID01530	36
geneID01531	136
geneID01532	175
geneID01533	170
geneID01534	163
geneID01535	465
geneID01536	289
geneID01537	1214
geneID01538	10
geneID01539	5
geneID01540	1
geneID01541	1223
geneID01542	61
geneID01543	0
geneID01544	193
geneID01545	4
geneID01546	0
geneID01547	389
geneID01548	25
geneID01549	63
geneID01550	0
geneID01551	217
geneID01552	41
geneID01553	331
geneID01554	0
geneID01555	79
geneID01556	190
geneID01557	108
geneID01558	2172
geneID01559	153
geneID01560	25
geneID01561	36
geneID01562	0
geneID01563	51
geneID01564	460
geneID01565	2
geneID01566	0
geneID01567	0
geneID01568	0
geneID01569	0
geneID01570	0
geneID01571	0
geneID01572	433
geneID01573	19
geneID01574	0
geneID01575	3626
geneID01576	77
geneID01577	131
geneID01578	44
geneID01579	139
geneID01580	101
geneID01581	716
geneID01582	0
geneID01583	11
geneID01584	0
geneID01585	1
geneID01586	208
geneID01587	0
geneID01588	23
geneID01589	345
geneID01590	4668
geneID01591	3
geneID01592	28
geneID01593	0
geneID01594	0
geneID01595	143
geneID01596	73
geneID01597	87
geneID01598	0
geneID01599	4
geneID01600	5
geneID01601	304
geneID01602	139
geneID01603	2936
geneID01604	770
geneID01605	175
geneID01606	9
geneID01607	132
geneID01608	259
geneID01609	4
geneID01610	172
geneID01611	277
geneID01612	138
geneID01613	1
geneID01614	0
geneID01615	47
geneID01616	63
geneID01617	26
geneID01618	54
geneID01619	573
geneID01620	52
geneID01621	12
geneID01622	0
geneID01623	0
geneID01624	0
geneID01625	0
geneID01626	56
geneID01627	242
geneID01628	190
geneID01629	175
geneID01630	83
geneID01631	1
geneID01632	0
geneID01633	175
geneID01634	57
geneID01635	23
geneID01636	328
geneID01637	97
geneID01638	0
geneID01639	124
geneID01640	5
geneID01641	117
geneID01642	101
geneID01643	101
geneID01644	489
geneID01645	3
geneID01646	0
geneID01647	0
geneID01648	20
geneID01649	0
geneID01650	23
geneID01651	0
geneID01652	109
geneID01653	1
geneID01654	110
geneID01655	166
geneID01656	299
geneID01657	44
geneID01658	12
geneID01659	35
geneID01660	6
geneID01661	7
geneID01662	321
geneID01663	6
geneID01664	65
geneID01665	122
geneID01666	77
geneID01667	100
geneID01668	265
geneID01669	355
geneID01670	26
geneID01671	46
geneID01672	30
geneID01673	190
geneID01674	80
geneID01675	215
geneID01676	0
geneID01677	271
geneID01678	267
geneID01679	3
geneID01680	256
geneID01681	59
geneID01682	0
geneID01683	1
geneID01684	149
geneID01685	186
geneID01686	84
geneID01687	429
geneID01688	20
geneID01689	26
geneID01690	25
geneID01691	88
geneID01692	3
geneID01693	0
geneID01694	0
geneID01695	371
geneID01696	660
geneID01697	363
geneID01698	441
geneID01699	0
geneID01700	4
geneID01701	116
geneID01702	618
geneID01703	19
geneID01704	0
geneID01705	0
geneID01706	12
geneID01707	195
geneID01708	0
geneID01709	0
geneID01710	0
geneID01711	0
geneID01712	0
geneID01713	87
geneID01714	134
geneID01715	5
geneID01716	106
geneID01717	85
geneID01718	23
geneID01719	336
geneID01720	484
geneID01721	93
geneID01722	308
geneID01723	815
geneID01724	163
geneID01725	0
geneID01726	0
geneID01727	52
geneID01728	2
geneID01729	0
geneID01730	65
geneID01731	497
geneID01732	391
geneID01733	1339
geneID01734	49
geneID01735	0
geneID01736	17
geneID01737	12
geneID01738	19
