genes	counts
geneID01424	134
geneID01425	310
geneID01426	46
geneID01427	0
geneID01428	9425
geneID01429	94
geneID01430	37
geneID01431	386
geneID01432	170
geneID01433	263
geneID01434	4
geneID01435	431
geneID01436	2
geneID01437	615
geneID01438	1152
geneID01439	0
geneID01440	70
geneID01441	857
geneID01442	310
geneID01443	1
geneID01444	250
geneID01445	19
geneID01446	27
geneID01447	49
geneID01448	0
geneID01449	777
geneID01450	4
geneID01451	21
geneID01452	0
geneID01453	0
geneID01454	0
geneID01455	99
geneID01456	556
geneID01457	247
geneID01458	123
geneID01459	96
geneID01460	2107
geneID01461	418
geneID01462	30
geneID01463	19
geneID01464	0
geneID01465	847
geneID01466	78
geneID01467	962
geneID01468	16
geneID01469	420
geneID01470	1
geneID01471	19
geneID01472	0
geneID01473	563
geneID01474	69
geneID01475	958
geneID01476	486
geneID01477	5
geneID01478	481
geneID01479	37
geneID01480	0
geneID01481	0
geneID01482	138
geneID01483	0
geneID01484	99
geneID01485	0
geneID01486	1306
geneID01487	208
geneID01488	751
geneID01489	478
geneID01490	835
geneID01491	0
geneID01492	0
geneID01493	0
geneID01494	5
geneID01495	788
geneID01496	234
geneID01497	259
geneID01498	0
geneID01499	0
geneID01500	0
geneID01501	0
geneID01502	76
geneID01503	1442
geneID01504	74
geneID01505	134
geneID01506	1
geneID01507	0
geneID01508	138
geneID01509	210
geneID01510	1
geneID01511	0
geneID01512	1
geneID01513	203
geneID01514	89
geneID01515	50
geneID01516	89
geneID01517	653
geneID01518	2
geneID01519	426
geneID01520	576
geneID01521	2
geneID01522	22
geneID01523	13
geneID01524	18
geneID01525	234
geneID01526	4
geneID01527	1172
geneID01528	79
geneID01529	55
geneID01530	36
geneID01531	140
geneID01532	272
geneID01533	215
geneID01534	158
geneID01535	597
geneID01536	488
geneID01537	1757
geneID01538	21
geneID01539	4
geneID01540	3
geneID01541	2148
geneID01542	40
geneID01543	0
geneID01544	270
geneID01545	5
geneID01546	0
geneID01547	376
geneID01548	24
geneID01549	74
geneID01550	0
geneID01551	392
geneID01552	61
geneID01553	614
geneID01554	1
geneID01555	115
geneID01556	316
geneID01557	140
geneID01558	3068
geneID01559	236
geneID01560	24
geneID01561	50
geneID01562	0
geneID01563	70
geneID01564	540
geneID01565	3
geneID01566	0
geneID01567	0
geneID01568	0
geneID01569	0
geneID01570	0
geneID01571	0
geneID01572	619
geneID01573	15
geneID01574	0
geneID01575	6456
geneID01576	92
geneID01577	229
geneID01578	59
geneID01579	221
geneID01580	84
geneID01581	1278
geneID01582	0
geneID01583	28
geneID01584	1
geneID01585	0
geneID01586	364
geneID01587	0
geneID01588	25
geneID01589	487
geneID01590	5407
geneID01591	11
geneID01592	45
geneID01593	0
geneID01594	0
geneID01595	195
geneID01596	99
geneID01597	77
geneID01598	0
geneID01599	5
geneID01600	4
geneID01601	587
geneID01602	123
geneID01603	3372
geneID01604	1202
geneID01605	382
geneID01606	10
geneID01607	174
geneID01608	280
geneID01609	0
geneID01610	212
geneID01611	318
geneID01612	213
geneID01613	0
geneID01614	0
geneID01615	66
geneID01616	91
geneID01617	45
geneID01618	107
geneID01619	594
geneID01620	53
geneID01621	7
geneID01622	0
geneID01623	0
geneID01624	1
geneID01625	0
geneID01626	35
geneID01627	469
geneID01628	275
geneID01629	247
geneID01630	80
geneID01631	0
geneID01632	0
geneID01633	238
geneID01634	75
geneID01635	6
geneID01636	577
geneID01637	236
geneID01638	1
geneID01639	214
geneID01640	10
geneID01641	129
geneID01642	155
geneID01643	154
geneID01644	907
geneID01645	5
geneID01646	2
geneID01647	0
geneID01648	21
geneID01649	5
geneID01650	357
geneID01651	0
geneID01652	107
geneID01653	1
geneID01654	126
geneID01655	253
geneID01656	568
geneID01657	87
geneID01658	10
geneID01659	22
geneID01660	2
geneID01661	6
geneID01662	536
geneID01663	5
geneID01664	85
geneID01665	176
geneID01666	93
geneID01667	100
geneID01668	489
geneID01669	697
geneID01670	37
geneID01671	88
geneID01672	27
geneID01673	272
geneID01674	115
